Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1|Unit 1|阿拉伯语|Ālābóyǔ|n.|Arabic (language)||Every next 60 words: Unit 3, Unit 4, etc. Word 121 starts Unit 3.|
2|Unit 1|哎|āi|int.|surprise/dissatisfaction|||
3|Unit 1|哎呀|āiyā|int.|surprise/impatience|||
4|Unit 1|哀求|āiqiú|v.|implore|||
5|Unit 1|挨家挨户|āijiā-āihù|adv.|from door to door|||
6|Unit 1|癌|ái|n.|cancer|||
7|Unit 1|癌症|áizhèng|n.|cancer|||
8|Unit 1|艾滋病|àizībìng|n.|AIDS|||
9|Unit 1|唉|āi|int.|sadness/regret|||
10|Unit 1|爱不释手|àibùshìshǒu|expr.|be fond of sth.|||
11|Unit 1|爱理不理|àilǐ-bùlǐ|expr.|be cool/standoffish|||
12|Unit 1|爱面子|ài miànzi|expr.|care about face|||
13|Unit 1|爱惜|àixī|v.|cherish|||
14|Unit 1|碍事|àishì|v.|be in the way|||
15|Unit 1|安定|āndìng|adj./v.|stable; stabilize|||
16|Unit 1|安抚|ānfǔ|v.|pacify|||
17|Unit 1|安眠药|ānmiányào|n.|sleeping pill|||
18|Unit 1|安宁|ānníng|adj.|peaceful|||
19|Unit 1|安稳|ānwěn|adj.|smooth and steady|||
20|Unit 1|安心|ānxīn|adj.|at ease|||
21|Unit 1|安逸|ānyì|adj.|easy and comfortable|||
22|Unit 1|按键|ànjiàn|n.|button/key|||
23|Unit 1|按理说|ànlǐ shuō|expr.|according to reason|||
24|Unit 1|按说|ànshuō|adv.|ordinarily|||
25|Unit 1|案件|ànjiàn|n.|law case|||
26|Unit 1|暗地里|àndìli|adv.|in secret|||
27|Unit 1|暗杀|ànshā|v.|assassinate|||
28|Unit 1|暗中|ànzhōng|adv.|secretly|||
29|Unit 1|昂贵|ángguì|adj.|expensive|||
30|Unit 1|凹|āo|adj.|concave|||
31|Unit 1|熬|áo|v.|endure; stew|||
32|Unit 1|熬夜|áoyè|v.|stay up late|||
33|Unit 1|傲|ào|adj.|proud|||
34|Unit 1|傲慢|àomàn|adj.|arrogant|||
35|Unit 1|奥秘|àomì|n.|mystery|||
36|Unit 1|奥运会|Àoyùnhuì|n.|Olympic Games|||
37|Unit 1|八卦|bāguà|n.|Eight Trigrams|||
38|Unit 1|巴不得|bābude|v.|be eager to|||
39|Unit 1|扒|bā|v.|pull down/push aside|||
40|Unit 1|芭蕾|bālěi|n.|ballet|||
41|Unit 1|把柄|bǎbǐng|n.|handle; excuse|||
42|Unit 1|把关|bǎguān|v.|check on|||
43|Unit 1|把手|bǎshou|n.|handle/knob|||
44|Unit 1|靶子|bǎzi|n.|target|||
45|Unit 1|坝|bà|n.|dam|||
46|Unit 1|罢免|bàmiǎn|v.|dismiss|||
47|Unit 1|罢休|bàxiū|v.|give up|||
48|Unit 1|霸占|bàzhàn|v.|forcibly occupy|||
49|Unit 1|掰|bāi|v.|break off with fingers|||
50|Unit 1|白白|báibái|adv.|in vain|||
51|Unit 1|百分比|bǎifēnbǐ|n.|percentage|||
52|Unit 1|百合|bǎihé|n.|lily|||
53|Unit 1|百科全书|bǎikē quánshū|n.|encyclopedia|||
54|Unit 1|柏树|bǎishù|n.|cypress|||
55|Unit 1|摆放|bǎifàng|v.|place/lay|||
56|Unit 1|摆平|bǎipíng|v.|treat fairly; handle|||
57|Unit 1|摆设|bǎishè|n.|ornament|||
58|Unit 1|拜会|bàihuì|v.|pay official call|||
59|Unit 1|拜见|bàijiàn|v.|pay formal visit|||
60|Unit 1|拜年|bài//nián|v.|pay New Year call|||
61|Unit 2|拜托|bàituō|v.|request sb. to do sth.|||
62|Unit 2|扳|bān|v.|pull; win back|||
63|Unit 2|颁布|bānbù|v.|promulgate|||
64|Unit 2|颁发|bānfā|v.|issue|||
65|Unit 2|颁奖|bānjiǎng|v.|give out an award|||
66|Unit 2|斑点|bāndiǎn|n.|speckle|||
67|Unit 2|搬迁|bānqiān|v.|relocate|||
68|Unit 2|板块|bǎnkuài|n.|section; plate|||
69|Unit 2|办不到|bànbudào|v.|can't do|||
70|Unit 2|半边天|bànbiāntiān|n.|half the sky|||
71|Unit 2|半场|bànchǎng|n.|half a game|||
72|Unit 2|半岛|bàndǎo|n.|peninsula|||
73|Unit 2|半路|bànlù|n.|half of the way|||
74|Unit 2|半数|bànshù|n.|half the number|||
75|Unit 2|半途而废|bàntú’érfèi|expr.|give up halfway|||
76|Unit 2|半信半疑|bànxìn-bànyí|expr.|not quite convinced|||
77|Unit 2|半真半假|bànzhēn-bànjiǎ|expr.|half true and half false|||
78|Unit 2|扮|bàn|v.|disguise oneself as|||
79|Unit 2|伴|bàn|v./n.|accompany; companion|||
80|Unit 2|伴侣|bànlǚ|n.|partner|||
81|Unit 2|伴随|bànsuí|v.|accompany; follow|||
82|Unit 2|伴奏|bànzòu|v.|accompany with music|||
83|Unit 2|拌|bàn|v.|mix|||
84|Unit 2|帮手|bāngshou|n.|helper|||
85|Unit 2|绑|bǎng|v.|bind|||
86|Unit 2|绑架|bǎngjià|v.|kidnap|||
87|Unit 2|榜样|bǎngyàng|n.|good example|||
88|Unit 2|棒球|bàngqiú|n.|baseball|||
89|Unit 2|磅|bàng|m./n.|pound; scales|||
90|Unit 2|包袱|bāofu|n.|mental burden|||
91|Unit 2|包容|bāoróng|v.|tolerate|||
92|Unit 2|包扎|bāozā|v.|bind up|||
93|Unit 2|剥|bāo/bō|v.|peel|||
94|Unit 2|煲|bāo|n./v.|cooking pot; cook slowly|||
95|Unit 2|饱和|bǎohé|v.|be saturated|||
96|Unit 2|饱满|bǎomǎn|adj.|full of|||
97|Unit 2|宝库|bǎokù|n.|treasury|||
98|Unit 2|宝藏|bǎozàng|n.|treasure|||
99|Unit 2|保管|bǎoguǎn|v./n.|take for safekeeping; storekeeper|||
100|Unit 2|保姆|bǎomǔ|n.|nanny|||
101|Unit 2|保暖|bǎonuǎn|v.|keep warm|||
102|Unit 2|保鲜|bǎoxiān|v.|keep fresh|||
103|Unit 2|保修|bǎoxiū|v.|guarantee free repair|||
104|Unit 2|保佑|bǎoyòu|v.|bless|||
105|Unit 2|保障|bǎozhàng|v./n.|guarantee; assurance|||
106|Unit 2|保质期|bǎozhìqī|n.|shelf life|||
107|Unit 2|保重|bǎozhòng|v.|take care of oneself|||
108|Unit 2|堡垒|bǎolěi|n.|fortress|||
109|Unit 2|报|bào|v.|report|||
110|Unit 2|报仇|bàochóu|v.|take revenge|||
111|Unit 2|报酬|bàochou|n.|remuneration|||
112|Unit 2|报废|bàofèi|v.|discard as useless|||
113|Unit 2|报复|bàofù|v.|retaliate|||
114|Unit 2|报社|bàoshè|n.|newspaper office|||
115|Unit 2|报亭|bàotíng|n.|news kiosk|||
116|Unit 2|报销|bàoxiāo|v.|submit expenses for reimbursement|||
117|Unit 2|抱负|bàofù|n.|ambition|||
118|Unit 2|豹|bào|n.|leopard|||
119|Unit 2|暴风骤雨|bàofēng-zhòuyǔ|n.|violent storm|||
120|Unit 2|暴利|bàolì|n.|sudden huge profits|||
121|Unit 3|暴躁|bàozào|adj.|irritable; bad-tempered|||
122|Unit 3|曝光|bàoguāng|v.|expose; make public|||
123|Unit 3|爆冷门|bào lěngmén|v.|produce an upset; unexpected result|||
124|Unit 3|爆满|bàomǎn|v.|be filled to capacity|||
125|Unit 3|爆竹|bàozhú|n.|firecracker|||
126|Unit 3|卑鄙|bēibǐ|adj.|base; mean; despicable|||
127|Unit 3|悲哀|bēi’āi|adj.|sorrowful; grieved|||
128|Unit 3|悲观|bēiguān|adj.|pessimistic|||
129|Unit 3|悲欢离合|bēihuānlíhé|idiom|joys and sorrows; vicissitudes of life|||
130|Unit 3|悲痛|bēitòng|adj.|grieved; sorrowful|||
131|Unit 3|碑|bēi|n.|stone tablet; stele|||
132|Unit 3|贝壳|bèiké|n.|shell|||
133|Unit 3|备课|bèikè|v.|prepare lessons|||
134|Unit 3|备受|bèishòu|v.|receive a great deal of|||
135|Unit 3|备用|bèiyòng|v./adj.|reserve; standby|||
136|Unit 3|背面|bèimiàn|n.|back side; reverse side|||
137|Unit 3|背叛|bèipàn|v.|betray|||
138|Unit 3|背诵|bèisòng|v.|recite from memory|||
139|Unit 3|被捕|bèibǔ|v.|be arrested|||
140|Unit 3|奔波|bēnbō|v.|rush about; bustle about|||
141|Unit 3|奔赴|bēnfù|v.|rush to; head for|||
142|Unit 3|本分|běnfèn|n./adj.|one's duty; honest and law-abiding|||
143|Unit 3|本能|běnnéng|n.|instinct|||
144|Unit 3|本钱|běnqián|n.|capital|||
145|Unit 3|本色|běnsè|n.|true qualities; natural character|||
146|Unit 3|本性|běnxìng|n.|innate nature|||
147|Unit 3|本意|běnyì|n.|original intention|||
148|Unit 3|本着|běnzhe|prep.|in line with; according to|||
149|Unit 3|奔|bēn|v.|head straight toward; approach|||
150|Unit 3|笨蛋|bèndàn|n.|idiot; fool|||
151|Unit 3|笨重|bènzhòng|adj.|heavy; cumbersome|||
152|Unit 3|崩溃|bēngkuì|v.|collapse; break down|||
153|Unit 3|绷|bēng|v.|pull tight; strain|||
154|Unit 3|绷带|bēngdài|n.|bandage|||
155|Unit 3|蹦|bèng|v.|jump; bounce|||
156|Unit 3|逼近|bījìn|v.|approach; press toward|||
157|Unit 3|逼迫|bīpò|v.|force; compel|||
158|Unit 3|逼真|bīzhēn|adj.|lifelike; vivid|||
159|Unit 3|鼻涕|bítì|n.|snot; nasal mucus|||
160|Unit 3|比比皆是|bǐbǐjiēshì|idiom|can be seen everywhere|||
161|Unit 3|比不上|bǐ bù shàng|v.|not as good as|||
162|Unit 3|比起|bǐqǐ|prep.|compared with|||
163|Unit 3|比试|bǐshì|v.|compete; have a match|||
164|Unit 3|比喻|bǐyù|n./v.|metaphor; compare|||
165|Unit 3|鄙视|bǐshì|v.|despise; look down on|||
166|Unit 3|必不可少|bìbùkěshǎo|adj.|absolutely necessary|||
167|Unit 3|必定|bìdìng|adv.|certainly; surely|||
168|Unit 3|碧绿|bìlǜ|adj.|dark green; emerald green|||
