Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1561|Unit 27|害羞|hàixiū|adj.|shy|他是一个容易害羞的人;她突然害起羞来了|Tā shì yí gè róngyì hàixiū de rén; tā tūrán hài qǐ xiū lái le|He is someone who gets shy easily; she suddenly became shy
1562|Unit 27|酣畅|hānchàng|adj.|comfortable and happy|喝得酣畅;睡得很酣畅|Hē de hānchàng; shuì de hěn hānchàng|drink with great enjoyment; sleep very comfortably
1563|Unit 27|酣睡|hānshuì|v.|sleep soundly|他此刻就像一个在妈妈怀里酣睡的孩子|Tā cǐkè jiù xiàng yí gè zài māma huái lǐ hānshuì de háizi|At this moment he is just like a child sleeping soundly in his mother's arms
1564|Unit 27|含糊|hánhu|adj.|vague; careless|说话含糊;这事一点儿不能含糊|Shuōhuà hánhu; zhè shì yìdiǎnr bù néng hánhu|speak vaguely; this matter cannot be treated carelessly at all
1565|Unit 27|含蓄|hánxù|v.; adj.|contain; implicit, reserved|简短的话语含蓄着深刻的道理;性格含蓄;含蓄地表达|Jiǎnduǎn de huàyǔ hánxù zhe shēnkè de dàolǐ; xìnggé hánxù; hánxù de biǎodá|brief words contain profound reasoning; reserved personality; express implicitly
1566|Unit 27|函授|hánshòu|v.|teach by correspondence|函授生;函授教育|Hánshòushēng; hánshòu jiàoyù|correspondence student; correspondence education
1567|Unit 27|涵盖|hán'gài|v.|contain, cover|涵盖全体师生;涵盖范围;涵盖全部知识点|Hán'gài quántǐ shīshēng; hán'gài fànwéi; hán'gài quánbù zhīshi diǎn|cover all teachers and students; coverage scope; cover all knowledge points
1568|Unit 27|涵义|hányì|n.|meaning|丰富的涵义;涵义深刻|Fēngfù de hányì; hányì shēnkè|rich meaning; profound meaning
1569|Unit 27|罕见|hǎnjiàn|adj.|rare|这种病十分罕见;罕见的鸟|Zhè zhǒng bìng shífēn hǎnjiàn; hǎnjiàn de niǎo|this disease is extremely rare; a rare bird
1570|Unit 27|汗水|hànshuǐ|n.|sweat|一头汗水;汗水打湿了他的头发|Yì tóu hànshuǐ; hànshuǐ dǎshī le tā de tóufa|a head covered in sweat; sweat soaked his hair
