Book|Chapter|Chinese|Pinyin|Part of Speech|English|Example_Chinese|Example_Pinyin|Example_English
置身事内|第一章|事权|shìquán|n.|administrative authority; governmental responsibility|中央负责货币政策，地方则承担许多直接面向居民的事权。|Zhōngyāng fùzé huòbìzhèngcè, dìfāng zé chéngdān xǔduō zhíjiē miànxiàng jūmín de shìquán.|The central government is responsible for monetary policy, while local governments undertake many responsibilities that directly serve residents.
置身事内|第一章|事权划分|shìquán huàfēn|n.|division of governmental responsibilities|跨区域污染治理常因事权划分不清而出现推诿。|Kuà qūyù wūrǎn zhìlǐ chángyīn shìquán huàfēn bùqīng ér chūxiàn tuīwěi.|Cross-regional pollution control often suffers from buck-passing because governmental responsibilities are not clearly divided.
置身事内|第一章|财权|cáiquán|n.|fiscal authority|地方掌握的财权有限，却要负担大量民生支出。|Dìfāng zhǎngwò de cáiquán yǒuxiàn, què yào fùdān dàliàng mínshēng zhīchū.|Local governments have limited fiscal authority yet must bear substantial livelihood-related spending.
置身事内|第一章|财力|cáilì|n.|fiscal capacity; financial resources|经济发达地区通常有更充足的财力改善学校和医院。|Jīngjì fādá dìqū tōngcháng yǒu gèng chōngzú de cáilì gǎishàn xuéxiào hé yīyuàn.|Economically developed regions usually have greater fiscal capacity to improve schools and hospitals.
置身事内|第一章|权责|quánzé|n.|powers and responsibilities|改革若只增加任务而不调整权责，基层负担就会加重。|Gǎigé ruò zhǐ zēngjiā rènwù ér bù tiáozhěng quánzé, jīcéng fùdān jiù huì jiāzhòng.|If reform merely adds tasks without adjusting powers and responsibilities, the burden on grassroots governments will grow.
置身事内|第一章|权责边界|quánzé biānjiè|n.|boundaries of authority and responsibility|应急管理涉及多个部门，首先要厘清彼此的权责边界。|Yìngjí guǎnlǐ shèjí duōge bùmén, shǒuxiān yào líqīng bǐcǐ de quánzé biānjiè.|Emergency management involves many departments, so their boundaries of authority and responsibility must first be clarified.
置身事内|第一章|权力分配|quánlì fēnpèi|n.|allocation of power|中央与地方之间的权力分配会影响政策执行方式。|Zhōngyāng yǔ dìfāng zhījiān de quánlì fēnpèi huì yǐngxiǎng zhèngcè zhíxíng fāngshì.|The allocation of power between central and local governments affects how policies are implemented.
置身事内|第一章|资源配置|zīyuán pèizhì|n.|resource allocation|价格信号和政府规划都会影响土地与资本的资源配置。|Jiàgé xìnhào hé zhèngfǔ guīhuà dōu huì yǐngxiǎng tǔdì yǔ zīběn de zīyuán pèizhì.|Both price signals and government planning affect the allocation of land and capital.
置身事内|第一章|生产要素|shēngchǎn yàosù|n.|factors of production|劳动力、土地和资本等生产要素会向回报更高的地区流动。|Láodònglì, tǔdì hé zīběn děng shēngchǎn yàosù huì xiàng huíbào gèng gāo de dìqū liúdòng.|Factors of production such as labor, land, and capital flow toward regions offering higher returns.
置身事内|第一章|公共服务|gōnggòng fúwù|n.|public services|人口流入后，当地需要增加教育、医疗等公共服务供给。|Rénkǒu liúrù hòu, dāngdì xūyào zēngjiā jiàoyù, yīliáo děng gōnggòng fúwù gōngjǐ.|After an influx of population, the locality needs to increase public services such as education and health care.
置身事内|第一章|公共物品|gōnggòng wùpǐn|n.|public goods|防洪工程属于单个市场主体难以独立提供的公共物品。|Fánghónggōngchéng shǔyú dāngè shìchǎngzhǔtǐ nányǐ dúlì tígōng de gōnggòng wùpǐn.|Flood-control works are public goods that an individual market participant can hardly provide alone.
置身事内|第一章|规模经济|guīmó jīngjì|n.|economies of scale|统一建设区域污水处理厂可以形成规模经济。|Tǒngyī jiànshè qūyù wūshuǐ chǔlǐchǎng kěyǐ xíngchéng guīmó jīngjì.|Building a unified regional wastewater treatment plant can generate economies of scale.
置身事内|第一章|激励机制|jīlì jīzhì|n.|incentive mechanism|分税制改变了地方政府发展经济的激励机制。|Fēnshuìzhì gǎibiàn le dìfāng zhèngfǔ fāzhǎn jīngjì de jīlì jīzhì.|The tax-sharing system changed local governments' incentives to develop the economy.
置身事内|第一章|激励相容|jīlì xiāngróng|n.|incentive compatibility|好的制度要让干部的个人选择与公共目标激励相容。|Hǎo de zhìdù yào ràng gànbù de gèrén xuǎnzé yǔ gōnggòng mùbiāo jīlì xiāngróng.|A sound system should make officials' individual choices incentive-compatible with public goals.
置身事内|第一章|信息复杂性|xìnxī fùzáxìng|n.|information complexity|基层事务的信息复杂性使中央难以制定面面俱到的规则。|Jīcéng shìwù de xìnxī fùzáxìng shǐ zhōngyāng nányǐ zhìdìng miànmiànjùdào de guīzé.|The informational complexity of grassroots affairs makes it difficult for the center to formulate rules covering every situation.
置身事内|第一章|信息优势|xìnxī yōushì|n.|informational advantage|县级政府熟悉本地企业，因此在招商决策中具有信息优势。|Xiànjí zhèngfǔ shúxī běndì qǐyè, yīncǐ zài zhāoshāng juécè zhōng jùyǒu xìnxī yōushì.|County governments know local firms well and therefore possess an informational advantage in investment-promotion decisions.
